country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Kazakhstan,68200,68300,74500,70400,69500,70500,73000,71400,70500,67200,64900,63200,62900,60400,64600,61600,63300,63200,66300,68300,69400,64200,64100,61900,53100,43700,51000,40300,36500,33300,38800,40500,46800,48500,52000,54300,57600,59400,63600,63800,67500,69400,71400
Kenya,12000,12200,12500,12800,13000,13200,13200,13500,14400,15500,14600,14600,15800,17200,17700,17700,18000,18100,19100,19900,20300,20100,20400,20800,21400,21700,20900,21200,22000,23100,22300,22900,23500,24400,25600,25600,26400,26500,27400,27400,27500,27800,28000
Kiribati,4.66,5.05,5.38,5.68,5.91,6.25,6.7,6.99,7.26,7.53,7.81,7.93,8.1,8.34,8.6,8.95,9.26,9.56,9.84,10.2,10.2,10.4,10.6,10.8,11,11.2,11.5,11.8,12.1,12.4,12.8,13.1,13.5,13.7,14,14.2,14.5,14.9,15.2,15.6,16,16.1,16.3
Kuwait,21900,23100,23200,20000,15500,12400,12100,10800,12300,13200,9200,6470,5020,6000,6470,6440,6510,6570,7280,8520,5420,2350,5780,8510,10300,10200,10400,10700,10300,9620,10400,9980,9690,11300,11900,12900,13200,12700,12800,12200,12400,12600,12700
Kyrgyz Republic,4560,4720,5040,4920,4990,5100,5150,5120,5150,5190,5220,5210,5270,5270,5400,5450,5540,5620,5680,5790,5820,5550,5210,4920,4430,3700,3860,3450,3360,3410,3490,3470,3530,3550,3540,3590,3540,3610,3660,3820,3970,4130,4290
Lao,6980,5620,6200,7430,5540,5470,4770,6270,7050,6910,7930,7350,7340,10400,7120,6540,7170,8180,6860,5880,8140,7180,9290,7980,7670,8250,7110,7390,19700,17200,7220,7830,8610,8270,12900,10800,8620,8170,8330,8390,14700,14900,15000
Latvia,3320,3460,3560,3660,3770,3860,3880,3910,3980,4010,4020,4030,4080,4160,4250,4320,4380,4450,4760,5160,5470,5480,5280,4690,3540,3160,3170,3090,3030,2940,2840,2930,3420,3070,3120,3100,3160,3170,3190,3260,3230,3220,3180
Lebanon,545,558,573,578,583,565,548,558,602,598,620,625,620,623,631,643,658,669,667,680,698,734,758,780,798,808,844,857,888,894,905,914,946,966,976,1020,1040,1060,1090,1110,1130,1140,1150
Lesotho,1130,1040,1030,1010,1030,1080,1060,980,991,1050,1100,1110,1140,1120,1110,1150,1160,1320,1290,1240,1140,1150,1290,1230,1210,1180,1130,1110,1100,1220,1150,1120,1320,1310,1090,1220,1210,1230,1240,1250,1260,1270,1290
Liberia,493,509,526,550,544,546,552,629,629,662,693,684,712,712,731,750,814,833,892,913,890,845,826,774,757,771,815,898,1000,1100,1160,1270,1250,1240,1330,1320,1480,1610,1620,1550,1550,1570,1590
Libya,29700,23600,18900,18300,13400,14600,17200,17600,17600,18500,17600,12900,13700,12600,12200,11900,15000,13500,14300,14400,16800,17200,15100,14500,14700,15700,16100,14300,13700,12600,13100,12500,12300,14000,14700,16500,17600,17600,18100,17700,18100,18300,18500
Lithuania,4580,4800,4950,5080,5210,5350,5380,5470,5600,5710,5730,5810,5850,6000,6120,6230,6320,6430,6920,7570,7600,7390,6890,5940,5410,5160,5080,5110,5160,5020,5000,4860,5110,5000,5050,5040,5100,5100,5160,5080,5050,4940,4810
